"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";
"R2_FAN1";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R2_FAN2";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R2_M1";"TBD";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R2_M2";"TBD";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R2_M3";"TBD";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R2_M4";"TBD";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R2_NOZ";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R3_BED";"4k7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R3_M1";"TBD";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R3_M2";"TBD";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R3_M3";"TBD";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R3_M4";"TBD";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R3_NOZ";"4k7";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R4_M1";"2R2 / 3R3";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R4_M2";"2R2 / 3R3";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R4_M3";"2R2 / 3R3";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"R4_M4";"2R2 / 3R3";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";
"SWA";"BUTTON";"BUTTON";"BUTTON";"Tactile button";"CKN9085CT-ND";"";"";"";"";"";
"SWD";"";"MA04-12.54";"MA04-1";"PIN HEADER";"";"";"";"unknown";"unknown";"";
"TEMP_BED";"";"MA02-12.54";"MA02-1";"PIN HEADER";"";"";"";"unknown";"unknown";"";
"TEMP_NOZZLE";"";"MA02-12.54";"MA02-1";"PIN HEADER";"";"";"";"unknown";"unknown";"";
"X";"";"MA04-12.54";"MA04-1";"PIN HEADER";"";"";"";"unknown";"unknown";"";
"Y";"";"MA04-12.54";"MA04-1";"PIN HEADER";"";"";"";"unknown";"unknown";"";
"Y1";"CRYSTAL";"CRYSTAL";"CRYSTAL";"AVX Corp/Kyocera Corp CX2520DB16000D0GPSC1";"1253-1718-1-ND";"";"";"";"";"";
"Z";"";"MA04-12.54";"MA04-1";"PIN HEADER";"";"";"";"unknown";"unknown";"";
